lambda_rel,lambda_div,lambda_fair,config_type,nDCG@10,Recall@10,MRR,SPD_underrepresented,SPD_privileged,SRR_underrepresented,SRR_privileged,SPD_high_resource,SPD_emerging,SRR_high_resource,SRR_emerging,Unique Institutions,Unique Countries
1.0,0.0,0.0,baseline,0.8305109155256681,0.9,0.8078333333333333,0.0063933333333333325,-0.0063933333333333325,1.00771272,0.9626251266666668,0.04035333333333333,-0.039333333333333324,1.0497586133333334,0.78853036,1.5066666666666666,6.773333333333333
0.8,0.1,0.1,mmr,0.8269488436545879,0.9,0.8028333333333333,0.049059999999999986,-0.049059999999999986,1.05918408,0.7131999466666668,0.035019999999999996,-0.036,1.043182246666667,0.80645154,1.1266666666666667,6.8133333333333335
0.7,0.2,0.1,mmr,0.8263327805381394,0.9,0.8019999999999999,0.05639333333333333,-0.05639333333333333,1.06803072,0.6703300066666666,0.031020000000000002,-0.031999999999999994,1.0382499466666668,0.82795692,1.0666666666666667,6.806666666666667
0.6,0.2,0.2,mmr,0.8240698366828302,0.9,0.7993333333333333,0.09639333333333333,-0.09639333333333333,1.11628512,0.43649390666666665,0.02102,-0.022666666666666665,1.02591918,0.87813612,0.6933333333333334,6.846666666666667
0.5,0.3,0.2,mmr,0.8247630711020963,0.9,0.8001666666666667,0.10839333333333334,-0.10839333333333334,1.13076144,0.36634309333333337,0.021019999999999997,-0.023333333333333327,1.0259191666666667,0.8745518800000002,0.5866666666666667,6.8933333333333335
0.4,0.3,0.3,mmr,0.8075559031772356,0.9,0.7779166666666667,0.13906000000000002,-0.13906000000000002,1.16775648,0.18706880666666667,0.015019999999999999,-0.017999999999999995,1.0185207400000003,0.9032257466666668,0.31333333333333335,6.953333333333333
0.9,0.1,0.0,diversity_only,0.8312556092353219,0.9,0.8086666666666666,0.007726666666666667,-0.007726666666666667,1.0093211999999998,0.9548305866666668,0.043019999999999996,-0.041999999999999996,1.053046806666667,0.7741934333333333,1.5,6.766666666666667
0.7,0.3,0.0,diversity_only,0.8319488436545879,0.9,0.8094999999999999,0.008393333333333336,-0.008393333333333336,1.0101254399999997,0.9509333066666666,0.04102,-0.04066666666666666,1.05058066,0.7813618933333334,1.5,6.8533333333333335
0.9,0.0,0.1,fairness_only,0.8262041499449342,0.9,0.8019999999999999,0.04572666666666665,-0.04572666666666665,1.05516288,0.7326862933333332,0.035686666666666665,-0.036,1.0440042866666668,0.8064515333333334,1.16,6.806666666666667
0.7,0.0,0.3,fairness_only,0.8183282936870947,0.9,0.7919999999999999,0.10505999999999999,-0.10505999999999999,1.12674024,0.3858294333333333,0.01702,-0.018666666666666665,1.0209868666666668,0.8996414933333335,0.6,6.82
